inbound,tcp,80,192.168.1.2
outbound,tcp,10000-20000,192.168.10.11
inbound,udp,53,192.168.1.1-192.168.2.5
outbound,udp,1000-2000,52.12.48.92
inbound,udp,53-101,192.168.1.1-192.168.2.10
inbound,udp,53-100,192.168.1.1-192.168.2.5
outbound,tcp,10-100,52.89.111.1-53.100.255.255
outbound,tcp,20-30,52.89.111.1-52.89.111.10
inbound,udp,1-100,192.1.1.1-192.1.1.255
outbound,udp,10,192.1.2.1-192.1.2.10
inbound,tcp,1-65535,192.1.1.1-192.1.1.2
outbound,tcp,65535,192.1.1.1-192.2.2.255
inbound,udp,100-2000,192.1.1.1-192.1.2.1
